Link,Status,VideoId,Notes
https://www.instagram.com/reel/DbFvO_NAsyL/,ignored,,NewsPinch @thenewspinch - ground feature: food deliveries ordered to the sit-in from across India (22 Jul) (skipped via admin-tui)
https://www.instagram.com/reel/DbAI50_vH1K/,ignored,,Newslaundry Hindi @newslaundryhindi - raw march-day footage: welded barricades toppled at Jantar Mantar (20 Jul) (skipped via admin-tui)
https://x.com/newslaundry/status/2079155452513018275/,ignored,,Newslaundry on X - ground interview during crackdown: Ballia student on trapped protesters and plainclothes police (20 Jul) (skipped via admin-tui)
https://x.com/newslaundry/status/2079175349217423452/,ignored,,Newslaundry on X - student responds to disorganised-protest framing; swimming goggles against tear gas (20 Jul) (skipped via admin-tui)
https://x.com/newslaundry/status/2079178386707243372/,ignored,,Newslaundry on X - injured young protester interviewed on the road during the crackdown (20 Jul) (skipped via admin-tui)
https://www.youtube.com/watch/,ignored,,Molitics YouTube - Nivedita ground report: lathi bruises and fractures at Jantar Mantar (21 Jul) (skipped via admin-tui)
https://www.youtube.com/watch/,ignored,,Duplicate of an earlier row in this CSV.
https://www.youtube.com/watch/,ignored,,Duplicate of an earlier row in this CSV.
https://www.youtube.com/watch/,ignored,,Duplicate of an earlier row in this CSV.
https://www.instagram.com/reel/Da_5VNTPesx/,ignored,,Mojo Story @barkha.dutt x @themojostory - Barkha Dutt at rain-hit Jantar Mantar ahead of the march (19-20 Jul) (skipped via admin-tui)
https://www.youtube.com/watch/,ignored,,Duplicate of an earlier row in this CSV.
https://x.com/prabhatkhabar/status/2079911386990477489/,ignored,,Prabhat Khabar on X - Patna: interview with student injured in lathicharge bleeding from the eye (22 Jul) (skipped via admin-tui)
https://x.com/prabhatkhabar/status/2079901273294549245/,ignored,,Prabhat Khabar on X - Patna: police identifying and detaining stone-pelters after the protest (22 Jul) (skipped via admin-tui)
https://www.youtube.com/watch/,ignored,,Duplicate of an earlier row in this CSV.
https://www.youtube.com/watch/,ignored,,Duplicate of an earlier row in this CSV.
https://www.youtube.com/watch/,ignored,,Duplicate of an earlier row in this CSV.
https://www.youtube.com/watch/,ignored,,Duplicate of an earlier row in this CSV.
https://www.youtube.com/watch/,ignored,,Duplicate of an earlier row in this CSV.
https://www.youtube.com/watch/,ignored,,Duplicate of an earlier row in this CSV.
https://www.instagram.com/reel/DbF43o6jx3P/,published,video-105,
https://www.instagram.com/reel/DbH58syMPE4/,published,video-106,
https://www.instagram.com/reel/DbG6IrlReJT/,published,video-107,
https://www.instagram.com/reel/DbBz8TgzUPD/,published,video-108,
